Designator,Footprint,Quantity,Value,LCSC Part #
J1,magnet_contact,1,Magnet,
J2,PinHeader_1x02_P2.00mm_Vertical,1,INPUT,
J3,PinHeader_1x02_P2.54mm_Vertical,1,INPUT,
