C1:1
C2:1
C3:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
FB1:1
G***:1
J1:1
J12:1
J13:1
J14:2
J15:1
J2:1
J3:1
J4:1
J5:1
J6:1
J9:1
LS1:1
R1:1
R2:1
R3:1
U2:1
